ID,sp_415_mean,sp_445_mean,sp_480_mean,sp_515_mean,sp_555_mean,sp_590_mean,sp_630_mean,sp_680_mean,x_mm,y_mm,z_mm,PPFD_spec_mean,segment_id,pwm_r,pwm_b,rb_ratio_pwm,ppfd_red_mean,ppfd_blue_mean,row_count,start_timestamp,end_timestamp,device_id,update_type,temperature_mean,humidity_mean,a1_raw_mean,vcap_raw_mean,co2_ppm_mean,sp_clear_mean,sp_nir_mean,spectral_gain_mean,sleep_time_mean,spec_sum,spec_per_ppfd,clean_status,clean_reason
govee-01,4.3333333333,3,3,4,108.3333333333,12,3.3333333333,23.6666666667,,,,3.2846895853678384,1,20,0,inf,3.2846895854,0,3,2026-04-26 18:46:56.064,2026-04-26 18:47:56.128,T6ncwg==,COMPACT,27.4466666667,45.7133333333,0.264,4.171,-1,173,23,1,30,161.6666666666,49.2182480155,keep,
govee-02,9,8,9,9,251.5,28,7,55.75,,,,7.666970888773601,2,40,0,inf,7.6669708888,0,4,2026-04-26 18:49:26.023,2026-04-26 18:50:55.985,T6ncwg==,COMPACT,27.4025,45.7175,0.41225,4.15725,-1,402.25,53,1,30,377.25,49.2045692455,keep,
govee-03,14,12,14,15,390.6666666667,44,11,85.3333333333,,,,11.912282625834147,3,60,0,inf,11.9122826258,0,3,2026-04-26 18:52:25.954,2026-04-26 18:53:25.954,T6ncwg==,COMPACT,27.2533333333,45.6466666667,0.4946666667,4.1493333333,-1,625,84,1,30,586,49.1929228349,keep,
govee-04,19,17,18,20,524.25,59.75,15,112.5,,,,16.031077067057293,4,80,0,inf,16.0310770671,0,4,2026-04-26 18:54:55.954,2026-04-26 18:56:25.904,T6ncwg==,COMPACT,27.265,45.665,0.5515,4.142,-1,838.5,115.5,1,30,785.5,48.9985792417,keep,
govee-05,3,5,7,3,85.6666666667,9,2,18,,,,2.5884544054667153,5,16,4,4.000000,2.0707635244,0.5176908811,3,2026-04-26 18:57:55.873,2026-04-26 18:58:55.848,T6ncwg==,COMPACT,27.3533333333,45.6566666667,0.232,4.129,-1,129.6666666667,17,1,30,132.6666666667,51.2532368299,keep,
govee-06,7,14,21,9,211,23,6.25,45,,,,6.425286769866943,6,32,8,4.000000,5.1402294159,1.285057354,4,2026-04-26 19:00:25.791,2026-04-26 19:01:55.792,T6ncwg==,COMPACT,27.2875,45.6425,0.3825,4.11275,-1,316.5,41.25,1,30,336.25,52.3322945797,keep,
govee-07,12,24,36,15,332.3333333333,36,10,69.3333333333,,,,10.154167811075846,7,48,12,4.000000,8.1233342489,2.0308335622,3,2026-04-26 19:03:25.741,2026-04-26 19:04:25.776,T6ncwg==,COMPACT,27.1866666667,45.6733333333,0.465,4.1046666667,-1,493.3333333333,66,1,30,534.6666666666,52.6548976356,keep,
govee-08,16,37.3333333333,58,21,460,49,14,92.6666666667,,,,14.157954851786295,8,64,16,4.000000,11.3263638814,2.8315909704,3,2026-04-26 19:06:25.634,2026-04-26 19:07:25.685,T6ncwg==,COMPACT,27.1533333333,45.7033333333,0.5273333333,4.101,-1,669.3333333333,92,1,30,748,52.8324894259,keep,
govee-09,2,7,12,3,68.75,7,2,13.5,,,,2.1170727411905923,9,13,7,1.857143,1.3760972818,0.7409754594,4,2026-04-26 19:08:55.626,2026-04-26 19:10:25.581,T6ncwg==,COMPACT,27.1425,45.7475,0.204,4.09075,-1,94.25,12,1,30,115.25,54.4383751005,keep,
govee-10,6,21,33,9,189,19,5.3333333333,38,,,,5.847409089406331,10,27,13,2.076923,3.9470011353,1.9004079541,3,2026-04-26 19:11:55.571,2026-04-26 19:12:55.608,T6ncwg==,COMPACT,27.04,45.7,0.365,4.0723333333,-1,260,34,1,30,320.3333333333,54.7820972392,keep,
govee-11,11,45.75,75,17,318,31,10.25,59,,,,9.98924732208252,11,40,20,2.000000,6.6594982147,3.3297491074,4,2026-04-26 19:14:25.501,2026-04-26 19:15:55.552,T6ncwg==,COMPACT,27.0325,45.785,0.465,4.06775,-1,407.25,56,1,30,567,56.7610333109,keep,
govee-12,15,71,119,26,447,42,14,78.6666666667,,,,14.180742899576822,12,53,27,1.962963,9.394742171,4.7860007286,3,2026-04-26 19:17:25.502,2026-04-26 19:18:25.507,T6ncwg==,COMPACT,27,45.8233333333,0.5293333333,4.0616666667,-1,551.3333333333,78,1,30,812.6666666667,57.3077639459,keep,
govee-13,1.75,12,21,3.25,58,5,2.25,9,,,,1.8869821230570476,13,10,10,1.000000,0.9434910615,0.9434910615,4,2026-04-26 19:19:55.415,2026-04-26 19:21:25.408,T6ncwg==,COMPACT,26.915,45.855,0.24325,4.049,-1,62.75,9,1,30,112.25,59.4865201045,keep,
govee-14,6,41.3333333333,70,12,176.3333333333,14,6,27,,,,5.768428007761638,14,20,20,1.000000,2.8842140039,2.8842140039,3,2026-04-26 19:22:55.404,2026-04-26 19:23:55.413,T6ncwg==,COMPACT,26.94,45.8933333333,0.364,4.035,-1,179.6666666667,26,1,30,352.6666666666,61.1373958715,keep,
govee-15,10,76,130,21,301.5,24,10.25,44.5,,,,9.968982060750326,15,30,30,1.000000,4.9844910304,4.9844910304,4,2026-04-26 19:25:25.319,2026-04-26 19:26:55.319,T6ncwg==,COMPACT,26.8625,45.9225,0.46625,4.0275,-1,293.25,43,1,30,617.25,61.9170539418,keep,
govee-16,14,111,191.6666666667,31,430,34,15,61.3333333333,,,,14.275636037190756,16,40,40,1.000000,7.1378180186,7.1378180186,3,2026-04-26 19:28:25.255,2026-04-26 19:29:25.264,T6ncwg==,COMPACT,26.92,45.9766666667,0.5333333333,4.0223333333,-1,409,62,1,30,888,62.2038834337,keep,
govee-17,1,16,28,4,46.3333333333,3,1,5,,,,1.5935758352279663,17,7,13,0.538462,0.5577515423,1.0358242929,3,2026-04-26 19:31:25.171,2026-04-26 19:32:25.153,T6ncwg==,COMPACT,26.92,46.05,0.218,4.007,-1,32,5,1,30,104.3333333333,65.4712069717,keep,
govee-18,5.25,64,111,15,166.5,10,6,17,,,,5.755784352620442,18,13,27,0.481481,1.8706299146,3.885154438,4,2026-04-26 19:33:55.138,2026-04-26 19:35:25.139,T6ncwg==,COMPACT,26.895,45.9975,0.3635,3.995,-1,99,17,1,30,394.75,68.5831809908,keep,
govee-19,9.3333333333,108,188,26,291,18,11,30.3333333333,,,,10.035566965738932,19,20,40,0.500000,3.3451889886,6.6903779772,3,2026-04-26 19:36:55.072,2026-04-26 19:37:55.093,T6ncwg==,COMPACT,26.7333333333,45.9866666667,0.4676666667,3.9946666667,-1,183,32,1,30,681.6666666666,67.9250777753,keep,
govee-20,13,150.3333333333,264,37,412.3333333333,26,15.6666666667,43.3333333333,,,,14.218419075012207,20,27,53,0.509434,4.7987164378,9.4197026372,3,2026-04-26 19:39:55.096,2026-04-26 19:40:55.015,T6ncwg==,COMPACT,26.7933333333,46.0666666667,0.5343333333,3.9856666667,-1,264.6666666667,46.6666666667,1,30,961.6666666666,67.6352737666,keep,
govee-21,1,25,44,5,51,2,2,3,,,,1.829727013905843,21,4,16,0.250000,0.3659454028,1.4637816111,3,2026-04-26 19:42:25.020,2026-04-26 19:43:24.939,T6ncwg==,COMPACT,26.75,46.12,0.2403333333,3.9733333333,-1,14,4,1,30,133,72.6884387612,keep,
govee-22,4.3333333333,81,141,17,161,7,6,9,,,,5.749067465464274,22,8,32,0.250000,1.1498134931,4.5992539724,3,2026-04-26 19:45:24.982,2026-04-26 19:46:24.864,T6ncwg==,COMPACT,26.6433333333,46.1366666667,0.363,3.961,-1,42,12,1,30,426.3333333333,74.1569543051,keep,
govee-23,8,133,232.3333333333,29,280.6666666667,13,11,19,,,,9.950268109639486,23,12,48,0.250000,1.9900536219,7.9602144877,3,2026-04-26 19:47:54.856,2026-04-26 19:48:54.819,T6ncwg==,COMPACT,26.6833333333,46.1733333333,0.464,3.9523333333,-1,94,23,1,30,726,72.9628580859,keep,
govee-24,12,182.3333333333,322.3333333333,41,394.6666666667,19,16,28,,,,13.994614919026693,24,16,64,0.250000,2.7989229838,11.1956919352,3,2026-04-26 19:50:54.879,2026-04-26 19:51:54.813,T6ncwg==,COMPACT,26.5766666667,46.28,0.5346666667,3.943,-1,142.3333333333,33,1,30,1015.3333333333,72.5517164429,keep,
govee-25,1,38.5,67,8,66.75,2,3,2,,,,2.471855560938517,25,0,20,0.000000,0,2.4718555609,4,2026-04-26 19:53:24.745,2026-04-26 19:54:54.799,T6ncwg==,COMPACT,26.5925,46.2675,0.22575,3.935,-1,3,3,1,30,188.25,76.1573624992,keep,
govee-26,5,106,186,22,184,6,8,6,,,,6.835234959920247,26,0,40,0.000000,0,6.8352349599,3,2026-04-26 19:56:24.685,2026-04-26 19:57:24.728,T6ncwg==,COMPACT,26.64,46.33,0.393,3.9243333333,-1,8,10,1,30,523,76.5152921687,keep,
govee-27,8,170,299,35,295.5,9,13,9,,,,10.986804008483887,27,0,60,0.000000,0,10.9868040085,4,2026-04-26 19:58:54.635,2026-04-26 20:00:24.678,T6ncwg==,COMPACT,26.53,46.3575,0.48675,3.91475,-1,13,16,1,30,838.5,76.3188275091,keep,
govee-28,11,232.3333333333,413.6666666667,49,407.6666666667,13,18,13,,,,15.16513760884603,28,0,80,0.000000,0,15.1651376088,3,2026-04-26 20:01:54.621,2026-04-26 20:02:54.615,T6ncwg==,COMPACT,26.5233333333,46.4333333333,0.5436666667,3.914,-1,18.3333333333,22,1,30,1157.6666666667,76.3373664339,keep,
govee2-02,6,6,6,7,182,21,5,41.25,,,,5.599951267242432,2,30,0,inf,5.5999512672,0,4,2026-04-26 21:21:23.032,2026-04-26 21:22:52.992,T6ncwg==,COMPACT,27.4825,44.6075,0.35375,4.5365,-1,291.25,37,1,30,274.25,48.973640468,keep,
govee2-03,12,10,11,12,326,37,9,73.3333333333,,,,10.049929936726889,3,50,0,inf,10.0499299367,0,3,2026-04-26 21:24:23.056,2026-04-26 21:25:22.974,T6ncwg==,COMPACT,27.42,44.6666666667,0.459,4.5153333333,-1,522,68,1,30,490.3333333333,48.7897265374,keep,
govee2-04,17,15,16,17,461,52.5,13,101.5,,,,14.224438031514486,4,70,0,inf,14.2244380315,0,4,2026-04-26 21:26:52.924,2026-04-26 21:28:22.946,T6ncwg==,COMPACT,27.2725,44.825,0.53425,4.51225,-1,738,98.5,1,30,693,48.7189721284,keep,
